Country,Total GHG Emissions,Total CO2 ,Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),GDP Per Capita,Population
Afghanistan,19.55827713,1.6598,13.7283,4.0246,0.1455,280.2456441,25183615
Albania,7.883509561,4.1301,2.5729,1.1642,0.0163,3005.012903,2992547
Algeria,142.5101696,96.291,39.4431,5.2805,1.4955,3467.54474,33749328
Angola,106.124627,20.7232,69.7323,15.6048,0.0644,2825.07349,18541467
Antigua & Barbuda,0.822867005,0.425,0.165,0.0175,0.2153,#N/A,#N/A
Argentina,319.7874709,167.9118,103.6229,45.8576,2.3951,6639.909435,39558750
Armenia,7.158264883,4.4514,1.9652,0.5304,0.2113,2126.618661,3002161
Australia,592.5155558,381.1014,124.4041,79.2378,7.7723,36084.85898,20697900
Austria,86.96866203,74.8882,6.7036,4.0056,1.3712,40430.99361,8268641
Azerbaijan,58.37590828,35.101,20.2299,2.8513,0.1938,2473.085776,8484550
"Bahamas, The",1.769707638,1.5206,0.1971,0.0222,0.0299,23721.15628,335801
Bahrain,28.65794354,24.5879,3.775,0.1354,0.1597,19669.31955,940808
Bangladesh,129.7829633,40.7328,63.7389,25.0899,0.2213,495.8537802,144839238
Barbados,3.343606937,1.3703,1.9265,0.027,0.0198,15646.81501,275040
Belarus,94.73652031,67.4804,15.0365,12.0707,0.149,3848.586203,9604000
Belgium,131.5053304,114.4417,7.4148,8.1572,1.4916,38852.36103,10547958
Belize,8.16399983,0.4324,7.5429,0.1564,0.0324,4187.23289,290751
Benin,9.772900043,3.9538,3.3099,2.4852,0.0241,609.0186087,#N/A
Bhutan,0.997020677,0.392,0.4835,0.1191,0.0024,1346.085775,666920
Bolivia,36.78287132,11.346,17.6944,7.7138,0.0287,1233.592974,9283345
Bosnia & Herzegovina,23.9943622,17.8419,4.1799,1.7984,0.1741,#N/A,#N/A
Botswana,12.6897846,4.02,4.4577,4.2083,0.0038,5342.140336,1895671
Brazil,840.587982,352.1808,323.2026,158.3053,6.8993,5809.189096,190698241
Brunei,18.71037498,7.3309,11.2213,0.1043,0.0538,#N/A,#N/A
Bulgaria,62.67657123,49.6008,9.0958,3.5913,0.3886,#N/A,#N/A
Burkina Faso,18.90701427,1.3593,9.3053,8.227,0.0154,#N/A,#N/A
Burundi,2.076182739,0.1869,0.6151,1.2552,0.0191,#N/A,#N/A
Cambodia,22.94565281,2.95,15.4968,4.4358,0.0631,537.8485827,13525360
Cameroon,82.69711558,7.049,10.2304,65.3072,0.1105,965.3686883,18597109
Canada,711.8872804,551.2984,99.6746,47.7442,13.1701,40243.55228,32570505
Cape Verde,0.501504541,0.3078,0.0919,0.1009,0.001,#N/A,#N/A
Central African Republic,46.7877446,0.2272,15.1552,31.3932,0.0122,353.8944517,4127112
Chad,28.08186219,0.4067,18.1855,9.4783,0.0114,712.0468098,10423616
Chile,81.39928187,61.9985,11.8883,6.882,0.6306,9500.835162,16279728
China,7984.325073,6529.7785,860.6934,453.0331,140.8201,2082.183363,1311020000
Colombia,144.3576733,63.7067,57.3416,21.9864,1.323,3709.076914,43835744
Comoros,0.324339142,0.1209,0.1565,0.0466,0.0003,640.7429838,633814
"Congo, Dem. Rep.",37.53259274,1.6301,22.5657,13.312,0.0247,246.8028136,57926840
"Congo, Rep.",7.228053277,4.9631,1.3996,0.861,0.0043,2144.834943,3604595
Cook Islands,0.109155859,0.066,0.0122,0.0294,0.0016,#N/A,#N/A
Costa Rica,11.55200741,6.5962,3.1522,1.5836,0.2201,5228.025413,4308790
Cote d'Ivoire,26.36368491,5.7995,17.2369,3.1718,0.1555,#N/A,#N/A
Croatia,29.23230221,22.5517,3.4371,2.8902,0.3533,11363.41845,4440000
Cuba,41.21343259,26.7421,10.204,3.628,0.6394,4677.709014,11275199
Cyprus,8.70733988,7.9504,0.4832,0.1908,0.083,26455.13237,1048293
Czech Republic,140.5217476,122.7841,11.5311,5.4867,0.7198,15159.14115,10238905
Denmark,70.73643251,58.0332,7.0235,4.6908,0.9889,52041.00297,5437272
Djibouti,1.165442953,0.4177,0.479,0.2582,0.0106,974.5642374,788941
Dominica,0.214413948,0.1099,0.0881,0.0155,0.0009,5522.285618,70690
Dominican Republic,29.85404207,20.2533,6.3116,3.096,0.1932,3836.475649,9371333
Ecuador,47.36483428,30.4987,11.7031,4.9086,0.2544,3350.784142,13967490
Egypt,240.0765285,177.8691,46.9215,13.2089,2.077,#N/A,#N/A
El Salvador,12.60241975,7.1722,3.5692,1.6062,0.2548,3108.592529,5967556
Equatorial Guinea,20.15340944,5.4529,14.6767,0.0148,0.009,14162.05489,645718
Eritrea,6.330063615,0.522,3.1033,2.7031,0.0017,281.3750173,4304440
Estonia,20.03054922,15.9514,2.0186,2.0421,0.0185,12595.41484,1346810
Ethiopia,93.54461918,5.731,52.6967,35.0964,0.0205,194.0779937,78735675
European Union (15),4005.333856,3368.4819,340.3241,235.6286,60.8993,#N/A,#N/A
European Union (28),4962.319585,4138.0079,452.9894,303.2669,68.0553,#N/A,#N/A
Fiji,2.366468082,1.3593,0.638,0.343,0.0262,3750.034991,827390
Finland,81.22640181,67.3391,4.6923,8.7536,0.4415,41120.67651,5266268
France,507.4723212,390.7802,60.48,45.1601,11.0521,36544.50853,63621376
Gabon,5.360869045,4.0398,0.9678,0.3473,0.0059,7206.968408,1408920
"Gambia, The",6.18964911,0.3371,5.4041,0.4451,0.0033,440.3139383,1487731
Georgia,12.6530271,5.0135,5.7724,1.5815,0.2856,1761.1201,4398000
Germany,950.6687771,830.6691,57.8558,47.524,14.6199,#N/A,#N/A
Ghana,23.19393798,8.7377,8.9893,5.3882,0.0787,929.7266286,21951891
Greece,119.7842729,101.9116,9.4353,6.0091,2.4282,24561.38019,11127947
Grenada,1.860604021,0.2308,1.6207,0.007,0.0021,6764.722867,103259
Guatemala,22.60672872,11.7345,6.6492,3.9582,0.2649,2241.005028,13490041
Guinea,12.71896581,1.1798,7.5034,4.0214,0.0144,296.1745763,9898301
Guinea-Bissau,1.671055222,0.2162,0.8053,0.6392,0.0104,395.9779939,1494603
Guyana,2.919700557,1.2897,0.8952,0.7185,0.0162,1961.055623,743705
Haiti,7.537934798,2.1729,3.6016,1.6756,0.0879,505.5848205,9409479
Honduras,17.77607022,7.1617,7.7969,2.7493,0.0682,1547.266659,7007029
Hungary,74.31626426,57.5107,8.4106,7.1978,1.1972,11392.06807,10071370
Iceland,3.111852577,2.2996,0.4455,0.2779,0.0889,56097.11509,303782
India,2200.857788,1364.5367,572.6084,225.2426,38.47,816.7337762,1162088305
Indonesia,645.9199534,377.2755,189.9361,77.4817,1.2267,1590.177906,229263980
Iran,623.5440175,501.707,89.8818,30.0785,1.8768,#N/A,#N/A
Iraq,163.6387229,74.1304,86.0508,3.3586,0.099,2350.194236,27716983
Ireland,70.55834975,47.4105,13.8546,8.647,0.6462,54285.75075,4273591
Israel,78.68447717,64.5586,6.6336,1.3646,6.1276,21905.01769,7053700
Italy,558.6869585,478.397,43.5733,27.1922,9.5245,33426.16682,58143979
Jamaica,13.54261337,12.0274,0.7261,0.51,0.279,4487.499707,2653042
Japan,1321.481126,1227.932,23.87,20.7777,48.9014,34075.97895,127854000
Jordan,24.86627287,20.3986,3.5442,0.5943,0.3292,2719.822427,5536000
Kazakhstan,234.0184827,181.3327,41.4269,10.5552,0.7037,5291.57565,15308084
Kenya,40.54197225,9.6745,19.378,11.3517,0.1377,711.7211637,36286015
Kiribati,0.088896607,0.0696,0.0153,0.0035,0.0005,1110.460493,94257
"Korea, Dem. Rep. (North)",102.2795229,78.0504,16.1515,7.3647,0.7128,#N/A,#N/A
"Korea, Rep. (South)",568.8814368,503.5838,26.1168,17.1394,22.0415,#N/A,#N/A
Kuwait,179.1388474,72.3117,105.2577,0.4146,1.1548,42498.7402,2389498
Kyrgyzstan,10.04488609,5.3976,3.1549,1.4502,0.0422,#N/A,#N/A
Laos,9.148206164,1.5792,5.6422,1.9211,0.0057,#N/A,#N/A
